dataset,feature_name,horizon_sec,levels,minimum_expected_count,fraction_expected_cells_below_5,sparse_rxk_review_required,recommended_action
individual,gender,1,3,270.75127047869506,0.0,False,standard chi-square/Fisher rule adequate
individual,gender,2,3,589.7567788478624,0.0,False,standard chi-square/Fisher rule adequate
individual,gender,3,3,801.7030455950816,0.0,False,standard chi-square/Fisher rule adequate
individual,age_group,1,4,54.26187853157539,0.0,False,standard chi-square/Fisher rule adequate
individual,age_group,2,4,118.19449873840577,0.0,False,standard chi-square/Fisher rule adequate
individual,age_group,3,4,160.67113259177654,0.0,False,standard chi-square/Fisher rule adequate
individual,veh1_present,1,2,83.53228615089378,0.0,False,standard chi-square/Fisher rule adequate
individual,veh1_present,2,2,181.9519883435801,0.0,False,standard chi-square/Fisher rule adequate
individual,veh1_present,3,2,247.34173211556913,0.0,False,standard chi-square/Fisher rule adequate
individual,veh2_present,1,2,178.97117879100182,0.0,False,standard chi-square/Fisher rule adequate
individual,veh2_present,2,2,389.83922669604465,0.0,False,standard chi-square/Fisher rule adequate
individual,veh2_present,3,2,529.9393013255624,0.0,False,standard chi-square/Fisher rule adequate
individual,veh3_present,1,2,279.37115746828243,0.0,False,standard chi-square/Fisher rule adequate
individual,veh3_present,2,2,608.5328192188778,0.0,False,standard chi-square/Fisher rule adequate
individual,veh3_present,3,2,827.2268026582324,0.0,False,standard chi-square/Fisher rule adequate
individual,veh1_ttc_infinite,1,2,779.2005757134226,0.0,False,standard chi-square/Fisher rule adequate
individual,veh1_ttc_infinite,2,2,1697.2730018835068,0.0,False,standard chi-square/Fisher rule adequate
individual,veh1_ttc_infinite,3,2,2307.237464017911,0.0,False,standard chi-square/Fisher rule adequate
individual,veh2_ttc_infinite,1,2,785.4019332598884,0.0,False,standard chi-square/Fisher rule adequate
individual,veh2_ttc_infinite,2,2,1710.7809445964676,0.0,False,standard chi-square/Fisher rule adequate
individual,veh2_ttc_infinite,3,2,2325.599879171257,0.0,False,standard chi-square/Fisher rule adequate
individual,veh3_ttc_infinite,1,2,792.2234265610008,0.0,False,standard chi-square/Fisher rule adequate
individual,veh3_ttc_infinite,2,2,1725.6396815807243,0.0,False,standard chi-square/Fisher rule adequate
individual,veh3_ttc_infinite,3,2,2345.7985358399374,0.0,False,standard chi-square/Fisher rule adequate
individual,veh1_class,1,15,0.31006787732328794,0.1,True,merge defensible rare levels or use permutation chi-square sensitivity
individual,veh1_class,2,15,0.6753971356480329,0.1,True,merge defensible rare levels or use permutation chi-square sensitivity
individual,veh1_class,3,15,0.9181207576672945,0.06666666666666667,True,merge defensible rare levels or use permutation chi-square sensitivity
individual,veh2_class,1,14,0.49610860371726073,0.07142857142857142,True,merge defensible rare levels or use permutation chi-square sensitivity
individual,veh2_class,2,14,1.0806354170368528,0.07142857142857142,True,merge defensible rare levels or use permutation chi-square sensitivity
individual,veh2_class,3,14,1.4689932122676712,0.07142857142857142,True,merge defensible rare levels or use permutation chi-square sensitivity
individual,veh3_class,1,13,0.6201357546465759,0.07692307692307693,True,merge defensible rare levels or use permutation chi-square sensitivity
individual,veh3_class,2,13,1.3507942712960659,0.038461538461538464,True,merge defensible rare levels or use permutation chi-square sensitivity
individual,veh3_class,3,13,1.836241515334589,0.038461538461538464,True,merge defensible rare levels or use permutation chi-square sensitivity
individual,location_id,1,6,78.01307793453925,0.0,False,standard chi-square/Fisher rule adequate
individual,location_id,2,6,169.9299193290451,0.0,False,standard chi-square/Fisher rule adequate
individual,location_id,3,6,230.9991826290913,0.0,False,standard chi-square/Fisher rule adequate
individual,traffic_period,1,2,334.3151853299691,0.0,False,standard chi-square/Fisher rule adequate
individual,traffic_period,2,2,728.2131916557091,0.0,False,standard chi-square/Fisher rule adequate
individual,traffic_period,3,2,989.9178009168769,0.0,False,standard chi-square/Fisher rule adequate
