dataset,feature_1,feature_2,cramers_v,screening_zone,automatic_deletion,review_note
group_snapshot,veh3_present,veh3_class,0.9985079679719892,manual_review_ge_0p80,False,Review structural/deterministic relationship.
group_snapshot,veh2_present,veh2_class,0.9985079679719892,manual_review_ge_0p80,False,Review structural/deterministic relationship.
group_snapshot,veh1_present,veh1_class,0.9983722181286628,manual_review_ge_0p80,False,Review structural/deterministic relationship.
group_snapshot,veh2_class,veh3_present,0.7707961412087883,below_0p80,False,
group_snapshot,veh2_present,veh3_present,0.7624717435574722,below_0p80,False,
group_snapshot,veh2_present,veh3_class,0.7605138538035469,below_0p80,False,
group_snapshot,veh1_class,veh2_present,0.6647832070672625,below_0p80,False,
group_snapshot,veh1_ttc_infinite,veh2_ttc_infinite,0.6521365565305812,below_0p80,False,
group_snapshot,veh1_present,veh2_present,0.6420042667889356,below_0p80,False,
group_snapshot,veh1_present,veh2_class,0.6396777631579434,below_0p80,False,
group_snapshot,veh2_ttc_infinite,veh3_ttc_infinite,0.6147358065788286,below_0p80,False,
group_snapshot,veh1_class,veh3_present,0.529422940953458,below_0p80,False,
group_snapshot,veh1_present,veh3_present,0.489441988414776,below_0p80,False,
group_snapshot,veh1_present,veh3_class,0.48638628899976283,below_0p80,False,
group_snapshot,traffic_period,veh3_class,0.4729140015154275,below_0p80,False,
group_snapshot,veh3_ttc_infinite,veh3_class,0.4313231647533233,below_0p80,False,
group_snapshot,veh1_ttc_infinite,veh3_ttc_infinite,0.41809085582722205,below_0p80,False,
group_snapshot,veh3_present,veh3_ttc_infinite,0.3818766620274937,below_0p80,False,
group_snapshot,veh2_ttc_infinite,veh2_class,0.3634227151013428,below_0p80,False,
group_snapshot,traffic_period,veh2_class,0.3619791601827687,below_0p80,False,
group_snapshot,veh2_class,veh3_ttc_infinite,0.35051854641667124,below_0p80,False,
group_snapshot,traffic_period,veh1_class,0.32785330412075964,below_0p80,False,
group_snapshot,location_id,veh3_ttc_infinite,0.31060705139602157,below_0p80,False,
group_snapshot,traffic_period,veh1_ttc_infinite,0.30764959109215084,below_0p80,False,
group_snapshot,location_id,veh3_present,0.30070902135399646,below_0p80,False,
group_snapshot,veh2_present,veh2_ttc_infinite,0.3004255482507549,below_0p80,False,
group_snapshot,veh1_class,veh3_ttc_infinite,0.29537818571271135,below_0p80,False,
group_snapshot,veh1_ttc_infinite,veh3_class,0.2950605782810069,below_0p80,False,
group_snapshot,veh2_present,veh3_ttc_infinite,0.2910037070409719,below_0p80,False,
group_snapshot,veh2_class,veh3_class,0.28579580913644687,below_0p80,False,
group_snapshot,veh2_ttc_infinite,veh3_class,0.2804338465033387,below_0p80,False,
group_snapshot,location_id,traffic_period,0.26909347171468634,below_0p80,False,
group_snapshot,location_id,veh1_class,0.2681864808987222,below_0p80,False,
group_snapshot,location_id,veh2_present,0.26233365753586874,below_0p80,False,
group_snapshot,location_id,veh2_class,0.2616256566435216,below_0p80,False,
group_snapshot,traffic_period,veh3_present,0.2570777177947525,below_0p80,False,
group_snapshot,location_id,veh3_class,0.255877315680044,below_0p80,False,
group_snapshot,veh1_class,veh2_class,0.2523124825681706,below_0p80,False,
group_snapshot,location_id,veh2_ttc_infinite,0.25077608114655386,below_0p80,False,
group_snapshot,veh1_ttc_infinite,veh1_class,0.2320348368326704,below_0p80,False,
group_snapshot,veh1_class,veh2_ttc_infinite,0.23009335342968792,below_0p80,False,
group_snapshot,traffic_period,veh2_ttc_infinite,0.2236860693140089,below_0p80,False,
group_snapshot,veh1_class,veh3_class,0.196735703902366,below_0p80,False,
group_snapshot,veh1_present,veh1_ttc_infinite,0.19281624334360015,below_0p80,False,
group_snapshot,veh1_present,veh2_ttc_infinite,0.19249841786775188,below_0p80,False,
group_snapshot,veh1_present,veh3_ttc_infinite,0.18643497404888795,below_0p80,False,
group_snapshot,location_id,veh1_present,0.18566789411457962,below_0p80,False,
group_snapshot,veh1_ttc_infinite,veh2_class,0.1806869663294782,below_0p80,False,
group_snapshot,traffic_period,veh2_present,0.17006006703684942,below_0p80,False,
group_snapshot,location_id,veh1_ttc_infinite,0.15144104116390228,below_0p80,False,
group_snapshot,veh1_ttc_infinite,veh3_present,0.12490937462995674,below_0p80,False,
group_snapshot,veh2_ttc_infinite,veh3_present,0.11477904891540061,below_0p80,False,
group_snapshot,traffic_period,veh1_present,0.09324567526473262,below_0p80,False,
group_snapshot,traffic_period,veh3_ttc_infinite,0.0,below_0p80,False,
group_snapshot,veh1_ttc_infinite,veh2_present,0.0,below_0p80,False,
